"assessment_id","user_id","tcu","vis","tco","pro","tpe","lea","profile_version"
1,49,71,67,66,74,34,85,1
2,46,93,78,100,63,41,57,1
3,26,57,61,47,73,87,75,1
4,26,52,95,78,76,62,77,1
5,46,61,35,80,58,87,92,1
6,21,92,53,97,100,62,39,1
7,5,83,100,41,63,44,76,1
8,50,85,55,100,69,97,62,1
9,46,86,77,47,50,67,73,1
10,8,69,92,94,74,53,78,1
11,18,62,84,66,95,84,68,1
12,25,41,24,21,66,57,84,1
13,35,26,100,89,96,89,87,1
14,38,53,55,60,53,100,90,1
15,43,63,73,68,96,59,69,1
16,34,93,90,54,87,66,84,1
17,4,69,39,100,70,59,97,1
18,34,34,57,40,70,70,68,1
19,49,78,74,67,100,70,48,1
20,40,72,55,41,61,59,72,1
21,30,44,58,72,89,95,80,1
22,41,60,65,100,100,100,47,1
23,20,41,100,50,65,64,61,1
24,12,67,38,79,84,68,75,1
25,8,69,66,52,84,44,49,1
26,24,55,69,35,78,100,65,1
27,9,76,40,73,43,100,74,1
28,23,83,42,74,54,97,59,1
29,29,60,43,100,81,60,25,1
30,1,76,70,71,79,64,88,1
31,27,83,65,39,44,20,50,1
32,11,66,57,67,65,53,49,1
33,21,82,23,77,58,73,51,1
34,38,90,80,58,84,84,67,1
35,8,34,77,67,65,91,55,1
36,12,71,65,76,76,73,58,1
37,43,41,82,81,92,84,100,1
38,29,91,57,85,42,76,71,1
39,50,97,79,72,63,77,76,1
40,10,63,57,76,69,70,48,1
41,50,92,100,71,95,61,100,1
42,39,59,77,82,70,74,90,1
43,14,50,100,87,57,69,61,1
44,49,97,62,92,75,71,90,1
45,46,72,62,53,34,71,34,1
46,24,62,91,65,83,61,37,1
47,19,61,64,70,62,35,53,1
48,40,76,100,58,80,53,80,1
49,16,66,30,76,83,71,95,1
50,18,46,90,48,100,53,66,1
51,28,100,60,64,72,91,62,1
52,49,84,83,79,79,61,69,1
53,1,37,59,31,95,100,49,1
54,27,52,19,59,88,70,57,1
55,34,30,24,73,38,78,59,1
56,5,100,71,64,67,80,77,1
57,35,82,81,70,53,34,75,1
58,30,71,100,76,100,74,67,1
59,41,43,53,36,45,71,100,1
60,11,82,55,66,99,75,54,1
61,25,11,60,76,83,83,82,1
62,38,75,72,89,23,60,69,1
63,26,62,87,59,31,56,56,1
64,24,69,100,62,83,92,95,1
65,24,100,85,50,60,52,98,1
66,4,38,79,59,62,94,77,1
67,39,95,69,86,80,100,73,1
68,11,98,62,42,88,95,100,1
69,30,52,81,92,64,19,73,1
70,6,84,60,55,51,96,18,1
71,35,33,75,80,72,57,38,1
72,10,75,71,100,82,74,44,1
73,5,61,51,96,90,57,69,1
74,39,83,89,44,54,59,63,1
75,48,97,53,34,100,54,82,1
76,30,99,83,82,42,36,100,1
77,33,49,56,86,68,100,70,1
78,12,45,87,97,33,45,85,1
79,44,54,58,71,85,47,96,1
80,9,66,89,79,59,38,85,1
81,4,68,79,39,99,67,50,1
82,27,56,100,90,81,78,59,1
83,10,62,21,43,46,42,10,1
84,7,66,47,100,79,52,80,1
85,22,36,57,63,71,66,71,1
86,15,68,43,58,73,50,71,1
87,36,62,64,63,60,64,100,1
88,4,93,55,82,49,85,100,1
89,31,86,52,80,47,57,76,1
90,3,84,86,71,61,61,80,1
91,40,53,64,78,81,67,79,1
92,29,97,77,56,47,83,86,1
93,44,92,88,72,27,56,82,1
94,47,92,44,47,3,76,84,1
95,32,27,100,95,78,76,89,1
96,2,70,86,80,76,86,96,1
97,49,89,88,96,15,71,72,1
98,31,100,90,61,75,42,67,1
99,11,84,53,66,69,66,43,1
100,38,29,59,95,100,82,65,1
